"date","q1","id.trader","hh.maize.q6","hh.maize.q7","hh.maize.q8","hh.maize.q9","hh.maize.q10","hh.maize.q11","hh.maize.q12","hh.maize.q13.a","hh.maize.q13.b","hh.maize.q13.c","hh.maize.q13.d","hh.maize.q13.e","hh.maize.q13.f","hh.maize.q13.g","hh.maize.q13.h","hh.maize.q13.i","hh.maize.q13.j","hh.maize.q13.k","hh.maize.q14","hh.maize.q14b","hh.maize.q14c","hh.maize.value.q15a","hh.maize.value.q15b","hh.maize.value.q15c","hh.maize.value.q15d","hh.maize.value.q15e","hh.maize.value2.q16a","hh.maize.value2.q16b","hh.maize.value2.q16c","hh.maize.value2.q16d","hh.maize.value2.q16e","hh.maize.value2.q16f","hh.maize.value2.q16g","hh.maize.value2.q16h","hh.maize.value2.q16i","hh.maize.value2.q16j","hh.maize.q17","hh.maize.q17a.a","hh.maize.q17a.b","hh.maize.q17a.c","hh.maize.q17a.d","hh.maize.q17a.96","hh.maize.other_q17a","hh.maize.q18","hh.maize.other_q18","hh.maize.q19","hh.maize.other_q19","hh.maize.radius","hh.maize.q21","hh.maize.q22a","hh.maize.q22b","hh.maize.q22c","hh.maize.q22d","hh.maize.q22e","hh.maize.q22f","hh.maize.q22g","hh.maize.q23a","hh.maize.q23b","hh.maize.q23c","hh.maize.q23d","hh.maize.q23e","hh.maize.q23f","hh.maize.q23g","hh.maize.q24","hh.maize.q25.a","hh.maize.q25.b","hh.maize.q25.c","hh.maize.q25.d","hh.maize.q25.96","hh.maize.other_q25","hh.maize.q26.6","hh.maize.q26.b","hh.maize.q26.c","hh.maize.q26.d","hh.maize.q26.e","hh.maize.q26.96","hh.maize.other_q26","hh.maize.q27","hh.maize.q28","hh.maize.q29.a","hh.maize.q29.b","hh.maize.q29.c","hh.maize.q29.d","hh.maize.q29.e","hh.maize.q29.f","hh.maize.q29.g","hh.maize.q29.h","hh.maize.q29.i","hh.maize.q29.96","hh.maize.other_q29","hh.maize.q30.a","hh.maize.q30.b","hh.maize.q30.c","hh.maize.q30.d","hh.maize.q30.e","hh.maize.q30.f","hh.maize.q30.g","hh.maize.q30.96","hh.maize.other_q30","hh.maize.q31","hh.maize.q32","hh.maize.q33","hh.maize.q34","hh.maize.q34b","hh.maize.q35","hh.maize.q36.a","hh.maize.q36.b","hh.maize.q36.c","hh.maize.q36.d","hh.maize.q36.e","hh.maize.q36.96","hh.maize.other_q36","hh.maize.q37","hh.maize.q38","hh.maize.q39.a","hh.maize.q39.b","hh.maize.q39.c","hh.maize.q39.d","hh.maize.q39.e","hh.maize.q39.96","hh.maize.other_q39","hh.maize.q40","hh.maize.q40a","hh.maize.q40b","hh.maize.q40c","hh.maize.q40d","hh.maize.q40e","vilID","parID","subID","distID"
"7/25/2019","Yes","T0001",24,"Male","a","b","1/1/2011","1/1/2011","Yes","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","80","No","n/a",100,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a","n/a","n/a","g","8",11,300,250,"n/a","n/a","No","n/a",2,500,500,"n/a","n/a","No","n/a","n/a",FALSE,FALSE,FALSE,FALSE,TRUE,"As long as buyer became available","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a","Yes","No","1","Yes","50","No",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a","n/a","No",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bad roads",1,4,3,5,5,4,1,3,1,1
"7/25/2019","Yes","T0002",51,"Male","a","b","1/1/2008","1/1/2009","Yes","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","70","No","n/a",50,50,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a","n/a","n/a","e","5",5,400,300,"n/a","n/a","No","n/a",4,300,600,"n/a","n/a","No","n/a","n/a",FALSE,TRUE,FALSE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","Yes","No","2","Yes","100","Yes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","n/a","No",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"n/a",2,4,3,4,4,5,1,11,1,1
"7/25/2019","Yes","T0003",40,"Male","a","b","1/1/2000","1/1/2000","Yes","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","60","No","n/a",100,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a","n/a","n/a","f","n/a",30,10000,300,"n/a","n/a","Yes","1",30,500,700,"n/a","n/a","Yes","1","n/a",TRUE,FALSE,FALSE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"n/a",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"n/a","Yes","Yes","1","Yes","500","Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"n/a","n/a","No",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"n/a",2,5,4,5,5,5,1,3,1,1
"7/25/2019","Yes","T0004",20,"Male","e","b","1/1/2017","1/1/2017","Yes","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","60","No","n/a",80,0,0,20,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a","n/a","n/a","i","999",5,100,250,"n/a","n/a","Yes","1",7,100,1000,"n/a","n/a","Yes","1","n/a",FALSE,TRUE,FALSE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"n/a","Yes","No","1","Yes","30","Yes",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"n/a","n/a","No",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"n/a",2,4,4,5,5,4,2,3,1,1
"7/25/2019","Yes","T0005",38,"Male","a","b","1/1/2012","1/1/2012","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a",80,20,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","d","n/a","n/a","n/a","c","6",9,1000,250,"n/a","n/a","No","n/a",15,700,1100,"n/a","n/a","No","n/a","n/a",FALSE,FALSE,TRUE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"n/a","Yes","No","2","Yes","100","Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"n/a","n/a","Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"n/a",2,4,2,4,5,5,2,3,1,1
"7/25/2019","Yes","T0006",32,"Male","a","d","1/1/2004","1/1/2004","Yes","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","70","No","n/a",40,0,0,60,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","d","n/a","n/a","n/a","d","n/a",50,10000,250,"n/a","n/a","No","n/a",40,5000,700,"n/a","n/a","No","n/a","n/a",FALSE,TRUE,FALSE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a","Yes","Yes","1","Yes","5000","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a","n/a","Yes",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"Bad road",1,3,4,4,5,4,2,13,1,1
"7/25/2019","Yes","T0007",56,"Male","a","c","1/1/1993","1/1/1993","Yes","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","70","No","n/a",50,0,0,50,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","d","n/a","n/a","n/a","b","n/a",30,3000,500,"n/a","n/a","No","n/a",5,600,1000,"n/a","n/a","No","n/a","n/a",TRUE,FALSE,TRUE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"n/a","Yes","Yes","1","Yes","1000","No",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"n/a","n/a","No",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"n/a",4,4,3,4,4,3,1,13,1,1
"7/25/2019","Yes","T0008",42,"Male","a","b","1/1/2018","1/1/2018","Yes","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","75","No","n/a",100,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a","n/a","n/a","i","5",20,1500,350,"n/a","n/a","No","n/a",4,200,370,"n/a","n/a","No","n/a","n/a",FALSE,FALSE,TRUE,FALSE,TRUE,"To regain capital","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"n/a","Yes","No","1","Yes","200","Yes",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Put  pesticides as I wait  for  market","n/a","No",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Defaulters",2,5,4,2,5,4,1,5,1,1
"7/25/2019","Yes","T0009",47,"Male","a","d","1/1/1999","1/1/1999","Yes","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","60","No","n/a",100,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a","n/a","n/a","c","6",10,1200,300,"n/a","n/a","No","n/a",12,800,1000,"n/a","n/a","No","n/a","n/a",FALSE,FALSE,TRUE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"n/a","Yes","No","2","Yes","500","Yes",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"n/a","n/a","Yes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"n/a",2,5,4,4,5,5,1,3,1,1
"7/25/2019","Yes","T0010",30,"Male","a","c","1/1/2003","1/1/2003","Yes","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","60","No","n/a",100,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a","n/a","n/a","e","12",5,1000,250,"n/a","n/a","No","n/a",7,500,500,"n/a","n/a","No","n/a","n/a",FALSE,TRUE,FALSE,FALSE,FALSE,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a","Yes","Yes","1","Yes","500","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a","n/a","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"n/a",2,4,5,4,5,4,1,14,1,1
